year,faculty,plan_code,plan_code_raw,programme_code,dept_code,degree_name,degree_abbrev,specialisation,variant,source_page,notes
2025,COM,CB004ECO01,,CB004,ECO01,Bachelor of Business Science,BBusSc,Economics,regular,48,"addition to BUS4050H***. ............................................................. | *Students wishing to register for MAM2000W after completing MAM1010F/S and MAM1012F/S | must obtain permission from the convener of MAM2000W. See the MAM2000W handbook entry | for further details. | **Students who take STA3022 cannot take STA3000 level courses and must, therefore, take | FTX2024. | *** Students have an option to choose three electives. | As a rule, a 65% average for 3rd year Economics courses and at least 60% for ECO3020F, ECO3021S | and another 3rd year level economics establishes the right to be considered for a place in the | Economics 4th year class. Students who obtain less than 50% for ECO4112F will not be allowed to | continue with the programme. Students who do not qualify for admission to the 4th year Economics | courses or who have obtained less than 50% in ECO4112F will be required to change their | specialisation or degree in consultation with the Head of Department. Subject to the approval of the | Graduate Convener, students may substitute a maximum of one of the options with an NQF level 8 | course of a similar credit value offered in another department. Students’ may carry one semester | course to the honours year (only F or S. Students will not be allowed to carry any H or W courses). | Bachelor of Business Science specialising in ECONOMICS with LAW*"
2025,COM,CB004ECO03,,CB004,ECO03,Bachelor of Business Science,BBusSc,Economics with Law,regular,50,"See ""Entrance to the Legal Profession"" elsewhere in this Handbook. | **Places on the Law Courses in the 2nd and 3rd year are limited. To be eligible for consideration for | a possible (but not guaranteed) place, students wishing to apply to take Law courses in 2nd and 3rd | year need to fulfil all the requirements set out in Promotion Rule for Law degrees. | *Places on the Law Courses in the 2nd and 3rd year are limited. To be eligible for consideration for a | possible (but not guaranteed) place, students wishing to apply to take Law courses in 2nd and 3rd year | need to fulfil all the requirements set out in Promotion Rule. | **Students have an option to choose three electives. | (i) As a rule, a 65% average for 3rd year Economics courses and at least 60% for ECO3020F, | ECO3021S and another 3rd year level economics establishes the right to be considered for a place in | the Economics 4th year class. Students who obtain less than 40% for ECO4112F will not be allowed | to continue with the programme. Students who do not qualify for admission to the 4th year Economics | courses or who have obtained less than 40% in ECO4112F will be required to change their | specialisation or degree in consultation with the Head of Department. | (ii) CB004 readmission rules apply to CB024, however if you fail 2 courses in the first semester of | the first year, your registration will be changed to the extended version (CB015ECO03).Subject to the | approval of the Graduate Convener, students may substitute a maximum of one of the options with an | NQF level 8 course of a similar credit value offered in another department. Students may carry one | semester course to the honours year (only F or S. Students will not be allowed to carry any H or W | courses). | (iii) The pre-requisites for registering for the PVL courses are receipt of confirmation of place on | those courses and fulfilment of all the requirements set out in Promotion Rule. | Bachelor of Business Science specialising in MARKETING"
2025,COM,CB004BUS07,,CB004,BUS07,Bachelor of Business Science,BBusSc,Marketing,regular,52,"As a rule, at least a 65% average across all 3rd year Marketing courses establishes a right to be | considered for a place in Marketing 4th year. Students who do not qualify for admission to the 4th year | will be required to change their specialisation or degree in consultation with the Head of the School | of Management Studies. | Bachelor of Business Science specialising in ORGANISATIONAL PSYCHOLOGY"
2025,COM,CB004BUS08,,CB004,BUS08,Bachelor of Business Science,BBusSc,Organisational Psychology,regular,53,"As a rule, at least a 65% average in 3rd year Organisational Psychology is required for admission to | the Organisational Psychology 4th year. In exceptional circumstances, students may apply to the Head | of Section for a concession to this rule. Students who are not admitted to the Organisational | Psychology 4th year will be required to change their specialisation or degree in consultation with the | Head of the School of Management Studies. | Bachelor of Business Science in ACTUARIAL SCIENCE"
2025,COM,CB025BUS01,,CB025,BUS01,Bachelor of Business Science,BBusSc,Actuarial Science,augmented,54,"(i) Students failing in their first year to achieve the requirements for entry to BUS2016H can expect | to take an additional year over their degree and should explore alternatives. | (ii) CB019 readmission rules apply to CB026, however if a student fails 2 courses in the first semester | of the first year, they will be transferred into the extended programme (CB018BUS01). | Bachelor of Business Science in Actuarial Science specialising in QUANTITATIVE | FINANCE"
2025,COM,CB025BUS09,,CB025,BUS09,Bachelor of Business Science,BBusSc,Actuarial Science: Quantitative Finance,augmented,55,"* STA1106H is compulsory for students following the Mathematical Statistics option in the second | and subsequent years. | If students move from MAM1031F/MAM1032S to MAM1005H they will have to deregister from | STA1006S and register for it concurrently with MAM1006H. | **The STA4010W course starts two weeks before the undergraduate academic year. | Unless otherwise agreed by the Head of the Department of Statistical Sciences, candidates will be | required to obtain at least a 65% average for their 3rd year Statistics courses at the first attempt to be | accepted to STA4010W. | *** MAM2010F and MAM2011F are compulsory courses. Students must choose 2 courses from | MAM2012S, MAM2013S or MAM2014S | Bachelor of Business Science specialising in Statistics and Data Sciences"
2025,COM,CB024STA13,,CB024,STA13,Bachelor of Business Science,BBusSc,Statistics and Data Sciences,augmented,56,"* STA1106H is compulsory for students following the Mathematical Statistics option in the second | subsequent years. | ** The STA4010W course starts two weeks before the undergraduate academic year. | i. Unless otherwise agreed by the Head of the Department of Statistical Sciences, candidates | will be required to obtain at least 65% average for their third year Statistics courses at the | first attempt in order to be accepted to STA4010W; | ii. CB004 readmission rules apply to CB024, however if a student fails 2 courses in the first | semester of the first year, their registration will be changed to the extended version. | *** MAM2010F and MAM2011F are compulsory courses. Students may choose 2 courses from | MAM2012S, MAM2013S or MAM2014S. | NB: Students who move from MAM1031F/MAM1032S to MAM1005H, will have to deregister from | STA1106H and register for it concurrently with MAM1006H. | Bachelor of Business Science specialising in FINANCE, INVESTMENT AND BANKING"
2025,COM,CB024FTX05,,CB024,FTX05,Bachelor of Business Science,BBusSc,"Finance, Investment and Banking",augmented,58,An approved ECO 3000 level course at 18 credits NQF level 7 . | Candidates will be required to obtain at least a 60% average for their 3rd year finance courses in | order to be accepted into FTX4000 level courses. | *ACC1006F (Financial Accounting) will be accepted as an equivalent credit for ACC1020H for this | programme. | Bachelor of Business Science specialising in FINANCE with ACCOUNTING
2025,COM,CB024FTX04,,CB024,FTX04,Bachelor of Business Science,BBusSc,Finance with Accounting,augmented,59,"(i) This curriculum is designed to facilitate entry into the Accounting profession. After graduating, | candidates may apply for admission to the Postgraduate Diploma in Accounting. Passing the | diploma is a prerequisite for entry to the SAICA Initial Test of Competence. | (ii) Students may replace Financial Reporting III (ACC3009W) with Financial Reporting and | Analysis (ACC3020W), but this option will not meet the requirements for admission to the | Postgraduate Diploma in Accounting. | (iii) Candidates will be required to obtain at least a 60% average for their 3rd year finance courses in | order to be accepted into FTX4000 level courses. | Bachelor of Business Science specialising in COMPUTER SCIENCE"
2025,COM,CB024CSC05,,CB024,CSC05,Bachelor of Business Science,BBusSc,Computer Science,augmented,61,"Macroeconomics II .......................................................................... | ** One of these options may be replaced by an elective from another department (with approval of | the Computer Science Honours convenor). Not all electives will be offered each year. | Unless otherwise agreed by the Head of the School, candidates will be expected to obtain an overall | average of 65% for their third year Computer Science major courses and at least 55% for each | course to be considered for a place in 4th year Computer Science courses. Places may be limited. | Students who do not qualify for admission to 4th year Computer Science courses will be required | to change their specialisation or degree in consultation with the Head of Department and the Deputy | Dean Undergraduate Studies of Commerce. | Bachelor of Business Science specialising in INFORMATION SYSTEMS"
