year,faculty,plan_code,degree_abbrev,specialisation,variant,study_year,credits_ideal,credits_unresolved_slots,credits_stated,stated_is_minimum,credit_delta,fee_ideal_zar,fee_estimated_component_zar,fee_slots_missing,fee_published_zar,fee_published_label,fee_match_method,fee_delta_pct
2021,COM,CB004BUS08,BBusSc,Organisational Psychology,regular,3,198,0,180,False,18,91030,8600,0,84200,BBusSc specialising in Organisational Psychology,label_match,8.1
2021,COM,CB004BUS08,BBusSc,Organisational Psychology,regular,4,156,0,156,False,0,80210,0,0,80210,BBusSc specialising in Organisational Psychology,label_match,0.0
2021,COM,CB004BUS22,BBusSc,Analytics,regular,1,185,0,185,False,0,85000,0,0,85000,BBusSc specialising in Analytics,label_match,0.0
2021,COM,CB004BUS22,BBusSc,Analytics,regular,2,186,0,186,False,0,86670,0,0,86670,BBusSc specialising in Analytics,label_match,0.0
2021,COM,CB004BUS22,BBusSc,Analytics,regular,3,210,0,198,True,12,97750,0,0,103950,BBusSc specialising in Analytics,label_match,-6.0
2021,COM,CB004BUS22,BBusSc,Analytics,regular,4,178,0,178,False,0,71030,0,0,71030,BBusSc specialising in Analytics,label_match,0.0
2021,COM,CB004CSC05,BBusSc,Computer Science,regular,1,149,0,147,False,2,67800,0,0,59390,BBusSc specialising in Computer Science,label_match,14.2
2021,COM,CB004CSC05,BBusSc,Computer Science,regular,2,162,0,162,False,0,75950,0,0,75950,BBusSc specialising in Computer Science,label_match,0.0
2021,COM,CB004CSC05,BBusSc,Computer Science,regular,3,180,0,180,False,0,84080,0,0,84080,BBusSc specialising in Computer Science,label_match,0.0
2021,COM,CB004CSC05,BBusSc,Computer Science,regular,4,166,0,166,False,0,67080,0,0,67080,BBusSc specialising in Computer Science,label_match,0.0
2021,COM,CB004ECO01,BBusSc,Economics,regular,1,167,0,167,False,0,77030,0,0,77030,BBusSc specialising in Economics,label_match,0.0
2021,COM,CB004ECO01,BBusSc,Economics,regular,2,156,0,150,False,6,72980,0,0,72980,BBusSc specialising in Economics,label_match,0.0
2021,COM,CB004ECO01,BBusSc,Economics,regular,3,282,1,162,False,120,133400,8600,1,77170,BBusSc specialising in Economics,label_match,72.9
2021,COM,CB004ECO01,BBusSc,Economics,regular,4,156,0,156,False,0,85900,0,0,85900,BBusSc specialising in Economics,label_match,0.0
2021,COM,CB004ECO03,BBusSc,Economics with Law,regular,1,167,0,167,False,0,77030,0,0,77030,BBusSc specialising in Economics with Law,label_match,0.0
2021,COM,CB004ECO03,BBusSc,Economics with Law,regular,2,168,0,168,False,0,76880,0,0,76880,BBusSc specialising in Economics with Law,label_match,0.0
2021,COM,CB004ECO03,BBusSc,Economics with Law,regular,3,162,0,144,False,18,74190,8600,0,74190,BBusSc specialising in Economics with Law,label_match,0.0
2021,COM,CB004ECO03,BBusSc,Economics with Law,regular,4,174,0,174,False,0,94500,0,0,94500,BBusSc specialising in Economics with Law,label_match,0.0
2021,COM,CB004FTX04,BBusSc,Finance with Accounting,regular,1,167,0,167,False,0,77030,0,0,77030,BBusSc specialising in Finance with Accounting (CA Option),label_match,0.0
2021,COM,CB004FTX04,BBusSc,Finance with Accounting,regular,2,168,0,168,False,0,78150,0,0,78150,BBusSc specialising in Finance with Accounting (CA Option),label_match,0.0
2021,COM,CB004FTX04,BBusSc,Finance with Accounting,regular,3,180,0,180,False,0,85080,0,0,85080,BBusSc specialising in Finance with Accounting (CA Option),label_match,0.0
2021,COM,CB004FTX04,BBusSc,Finance with Accounting,regular,4,162,0,162,False,0,77200,0,0,77200,BBusSc specialising in Finance with Accounting (CA Option),label_match,0.0
2021,COM,CB004FTX05,BBusSc,Finance,regular,1,167,0,167,False,0,77030,0,0,77030,BBusSc specialising in Finance (Non CA Option),label_match,0.0
2021,COM,CB004FTX05,BBusSc,Finance,regular,2,168,0,168,False,0,78890,0,0,78890,BBusSc specialising in Finance (Non CA Option),label_match,0.0
2021,COM,CB004FTX05,BBusSc,Finance,regular,3,18,0,180,False,-162,8600,8600,0,76730,BBusSc specialising in Finance (Non CA Option),label_match,-88.8
2021,COM,CB004FTX05,BBusSc,Finance,regular,4,144,0,144,False,0,68600,0,0,68600,BBusSc specialising in Finance (Non CA Option),label_match,0.0
2021,COM,CB004INF01,BBusSc,Information Systems,regular,1,185,0,185,False,0,84890,0,0,84640,BBusSc specialising in Information Systems,label_match,0.3
2021,COM,CB004INF01,BBusSc,Information Systems,regular,2,168,0,168,False,0,79920,0,0,79920,BBusSc specialising in Information Systems,label_match,0.0
2021,COM,CB004INF01,BBusSc,Information Systems,regular,3,156,0,156,False,0,77080,0,0,77080,BBusSc specialising in Information Systems,label_match,0.0
2021,COM,CB004INF01,BBusSc,Information Systems,regular,4,176,0,176,False,0,78900,0,0,78900,BBusSc specialising in Information Systems,label_match,0.0
