year,faculty_section,programme_label,study_year,fee_zar,margin_note,source_page
2025,Humanities,Bachelor of Arts and Bachelor of Social Science,1,75500,Regular curriculum,60
2025,Humanities,Bachelor of Arts and Bachelor of Social Science,2,75500,- no repeat courses,60
2025,Humanities,Bachelor of Arts and Bachelor of Social Science,3,75500,,60
2025,Humanities,BA (Fine Arts),1,84200,,60
2025,Humanities,BA (Fine Arts),2,94700,,60
2025,Humanities,BA (Fine Arts),3,73500,,60
2025,Humanities,BA (Fine Arts),4,92100,,60
2025,Humanities,BA (Theatre & Performance),1,81600,,60
2025,Humanities,BA (Theatre & Performance),2,105000,,60
2025,Humanities,BA (Theatre & Performance),3,113800,,60
2025,Humanities,BA (Theatre & Performance),4,76100,,60
2025,Humanities,Bachelor of Social Science in PPE,1,79400,,60
2025,Humanities,Bachelor of Social Science in PPE,2,94300,,60
2025,Humanities,Bachelor of Social Science in PPE,3,71200,,60
2025,Humanities,Bachelor of Social Work (BSW),1,66100,,60
2025,Humanities,Bachelor of Social Work (BSW),2,78100,,60
2025,Humanities,Bachelor of Social Work (BSW),3,65100,,60
2025,Humanities,Bachelor of Social Work (BSW),4,67300,,60
2025,Humanities,BMus (General & Other Streams),1,71700,-R 74 900,60
2025,Humanities,BMus (General & Other Streams),2,77400,-R 91 400,60
2025,Humanities,BMus (General & Other Streams),3,84700,-R 91 200,60
2025,Humanities,BMus (General & Other Streams),4,78500,-R 85 700,60
2025,Humanities,BA specialising in Film and Media Production,1,75600,,60
2025,Humanities,BA specialising in Film and Media Production,2,80300,,60
2025,Humanities,BA specialising in Film and Media Production,3,85000,,60
2025,Humanities,Diplomas Performer’s Diploma in Music,1,83900,-R 86 700,60
2025,Humanities,Diplomas Performer’s Diploma in Music,2,85900,-R 99 400,60
2025,Humanities,Diplomas Performer’s Diploma in Music,3,97600,-R 101 800,60
2025,Humanities,Performer’s Diploma in Theatre and Performance,1,84700,,60
2025,Humanities,Performer’s Diploma in Theatre and Performance,2,79900,,60
2025,Humanities,Performer’s Diploma in Theatre and Performance,3,70600,,60
2025,Humanities,Postgraduate Full degree fees can vary depending on electives taken Per year of study Honours 4 Honours courses + research essay,,56000,,61
2025,Humanities,BEd Hons (4 Honours courses),,48400,,61
2025,Humanities,BA Hons in Theatre 3 Honours courses + research essay,,55900,,61
2025,Humanities,BAs Hons specialising in Dance Studies,,55900,,61
2025,Humanities,BMus Hons specialising in Performance,,55900,,61
2025,Humanities,BMus Hons specialising in Musicology,,56000,,61
2025,Humanities,BMus Hons specialising in Composition,,55900,,61
2025,Humanities,Master’s by Coursework 4 Master’s course work courses,,50600,,61
2025,Humanities,Minor dissertation,,23100,,61
2025,Humanities,Masters in Education (M.Ed) 3 Masters course work courses,,38000,,61
2025,Humanities,Minor dissertation,,23100,,61
2025,Humanities,Research Masters,,37800,,61
2025,Humanities,Masters in Theatre & Performance 2 Masters course work courses,,38000,,61
2025,Humanities,Minor dissertation,,48900,,61
2025,Humanities,Master in Television Production or Media Theory 4 Masters course work courses,,56600,,61
2025,Humanities,Research Project,,23100,,61
2025,Humanities,Master of Fine Art By dissertation,,37800,,61
2025,Humanities,Master of Music by Dissertation (MMus) Dissertation,,37800,,61
2025,Humanities,MMus by Performance & Dissertation,,77700,,61
2025,Humanities,MMus by Composition and Dissertation,,41600,,61
2025,Humanities,MMus by Coursework and Dissertation,,70300,,61
2025,Humanities,"MMus by Performance, Coursework and Dissertation",,75600,,61
2025,Humanities,Doctoral (PhD) (per year),,27200,,61
2025,Humanities,Diplomas Postgraduate Diploma in Fine Art,,69200,,61
2025,Humanities,Postgraduate Diploma in African Studies,,56000,,61
2025,Humanities,Postgraduate Diploma in ACET Education,,48400,,61
2025,Humanities,Postgraduate Diploma in Educational Technology,,48400,,61
2025,Humanities,Postgraduate Diploma in Higher Education Studies,,48400,,61
2025,Humanities,Postgraduate Diploma in Library and Information studies,,56000,,61
2025,Humanities,Postgraduate Diploma in Music Performance 4 Courses,,54700,,61
2025,Humanities,Certificates Postgraduate Certificate in Education: Foundation Phase,,70000,,62
2025,Humanities,Intermediate & Senior Phase,,81400,,62
2025,Law,Degrees Undergraduate LLB Regular curriculum 1st Year-depending on electives,,76810,,62
2025,Law,- no repeat courses 2nd Year-depending on electives,,82160,,62
2025,Law,3rd Year-depending on electives,,81800,,62
2025,Law,4th Year-depending on electives,,91560,,62
2025,Law,Graduate LLB,1,76240,,62
2025,Law,Graduate LLB,2,81800,,62
2025,Law,Graduate LLB,3,91560,,62
2025,Law,Postgraduate Per year of study LLM/MPhil by Coursework and dissertation Coursework 4(courses),,94520,,62
2025,Law,Dissertation,,11890,,62
2025,Law,Master of Laws in Commercial Law Coursework 4(courses),,94520,,62
2025,Law,Research Tasks (4 Tasks),,10600,,62
2025,Law,Master of Laws in Dispute Resolution Coursework 4(courses),,94520,,62
2025,Law,Research Tasks (4 Tasks),,10600,,62
2025,Law,Master of Laws in Intellectual Property Law Coursework 4(courses),,94520,,62
2025,Law,Research Tasks (4 Tasks),,10600,,62
2025,Law,Master of Laws in International Trade Law Coursework 4(courses),,94520,,62
2025,Law,Research Tasks (4 Tasks),,10600,,62
2025,Law,Master of Laws in Labour Law Coursework 4(courses),,94520,,62
2025,Law,Research Tasks (4 Tasks),,10600,,62
2025,Law,Master of Laws in Environmental Law Coursework 4(courses),,94520,,62
2025,Law,Research Tasks (4 Tasks),,10600,,62
2025,Law,Master of Laws in Marine & Environmental Law Coursework 4(courses),,94520,,62
2025,Law,Research Tasks (4 Tasks),,10600,,62
2025,Law,Master of Laws in the Law of Mineral and Petroleum Extraction and Use Coursework 4(courses),,94520,,62
2025,Law,Research Tasks (4 Tasks),,10600,,62
2025,Law,Master of Laws in Shipping Law Coursework 4(courses),,94520,,62
2025,Law,Research Tasks (4 Tasks),,10600,,63
2025,Law,Master of Laws in Tax Law Coursework 4(courses),,94520,,63
2025,Law,Research Tasks (4 Tasks),,10600,,63
2025,Law,LLM/MPhil by Dissertation only,,22460,,63
2025,Law,Diplomas Postgraduate Diploma in Law Coursework 4(courses),,94520,,63
2025,Law,Doctoral (PhD) (per year),,27170,,63
2025,Science,Bachelor of Science,1,83000,Regular curriculum,63
2025,Science,Bachelor of Science,2,82000,- no repeat courses,63
2025,Science,Bachelor of Science,3,82000,,63
2025,Science,Extended Degree 1st Year of EDP,,44000,,63
2025,Science,Programme (EDP:2 nd Year of EDP,,45000,,63
2025,Science,1st year over 2 years) Postgraduate Bachelor of Science Honours,,74450,,63
2025,Science,Per year of study Master of Science (MSc) & Master of Philosophy (MPhil) MSc by Dissertation only,,37780,,63
2025,Science,MSc by Coursework & Dissertation Coursework (full year),,73910,,63
2025,Science,Coursework (half year),,36980,,63
2025,Science,Minor Dissertation,,37780,,63
2025,Science,Doctoral (PhD) (per year),,27170,,63
