year,faculty,plan_code,study_year,table_index,stated_total_credits,stated_total_max,is_minimum,source_page
2021,COM,CB015BUS08,2,1,132,,False,78
2021,COM,CB015BUS08,3,1,126,,False,78
2021,COM,CB015BUS08,4,1,120,,False,79
2021,COM,CB015BUS08,5,1,156,,False,79
2021,COM,CB015BUS22,1,1,113,,False,66
2021,COM,CB015BUS22,2,1,108,,False,67
2021,COM,CB015BUS22,3,1,168,,False,67
2021,COM,CB015BUS22,4,1,180,,True,67
2021,COM,CB015BUS22,5,1,178,,False,67
2021,COM,CB015CSC05,1,1,113,,False,70
2021,COM,CB015CSC05,2,1,126,,False,71
2021,COM,CB015CSC05,3,1,132,,False,71
2021,COM,CB015CSC05,4,1,126,,False,71
2021,COM,CB015CSC05,5,1,166,,False,71
2021,COM,CB015ECO01,1,1,131,,False,73
2021,COM,CB015ECO01,2,1,126,,False,73
2021,COM,CB015ECO01,3,1,138,,False,74
2021,COM,CB015ECO01,4,1,90,,True,74
2021,COM,CB015ECO01,5,1,156,,False,74
2021,COM,CB015ECO03,1,1,131,,False,75
2021,COM,CB015ECO03,2,1,114,,False,75
2021,COM,CB015ECO03,3,1,126,,False,75
2021,COM,CB015ECO03,4,1,126,,False,76
2021,COM,CB015ECO03,5,1,166,,False,76
2021,COM,CB015FTX04,1,1,131,,False,69
2021,COM,CB015FTX04,2,1,126,,False,69
2021,COM,CB015FTX04,3,1,168,,False,70
2021,COM,CB015FTX04,4,1,144,,False,70
2021,COM,CB015FTX04,5,1,144,,False,70
2021,COM,CB015FTX05,1,1,131,,False,68
2021,COM,CB015FTX05,2,1,150,,False,68
2021,COM,CB015FTX05,3,1,90,,False,68
2021,COM,CB015FTX05,4,1,144,,False,69
2021,COM,CB015FTX05,5,1,144,,False,69
2021,COM,CB015INF01,1,1,131,,False,72
2021,COM,CB015INF01,2,1,108,,False,72
2021,COM,CB015INF01,3,1,150,,False,72
2021,COM,CB015INF01,4,1,120,,False,72
2021,COM,CB015INF01,5,1,176,,False,73
2021,COM,CB018BUS01,1,1,113,,False,64
2021,COM,CB018BUS01,2,1,108,,False,64
2021,COM,CB018BUS01,3,1,150,,False,64
2021,COM,CB018BUS01,4,1,180,,False,65
2021,COM,CB018BUS09,1,1,113,,False,65
2021,COM,CB018BUS09,2,1,108,,False,65
2021,COM,CB018BUS09,3,1,150,,False,66
2021,COM,CB018BUS09,4,1,198,,False,66
2021,COM,CB018BUS09,5,1,147,,False,66
2021,COM,CB019BUS01,1,1,185,,False,80
2021,COM,CB019BUS01,2,1,186,,False,80
2021,COM,CB019BUS01,3,1,162,,False,80
2021,COM,CB019BUS09,1,1,185,,False,81
2021,COM,CB019BUS09,2,1,186,,False,81
2021,COM,CB019BUS09,3,1,180,,False,81
2021,COM,CB020BUS01,1,1,113,,False,113
2021,COM,CB020BUS01,2,1,108,,False,113
2021,COM,CB020BUS01,3,1,150,,False,113
2021,COM,CB020BUS01,4,1,162,,False,114
2021,COM,CB020BUS09,1,1,113,,False,114
2021,COM,CB020BUS09,2,1,126,,False,114
2021,COM,CB020BUS09,3,1,132,,False,114
2021,COM,CB020BUS09,4,1,180,,False,114
2021,COM,CB023ACC03,1,1,149,,False,100
2021,COM,CB023ACC03,2,1,162,,False,100
2021,COM,CB023ACC03,3,1,144,,False,100
2021,COM,CB023ACC04,1,1,149,,False,99
2021,COM,CB023ACC04,2,1,162,,False,99
2021,COM,CB023ACC04,3,1,144,,False,99
2021,COM,CB023ACC08,1,1,149,,False,98
2021,COM,CB023ACC08,2,1,162,,False,98
2021,COM,CB023ACC08,3,1,144,,False,98
2021,COM,CB023BUS06,1,1,185,,False,109
2021,COM,CB023BUS06,2,1,168,,False,110
2021,COM,CB023BUS06,3,1,18,,False,110
2021,COM,CB023ECO02,1,1,167,,False,102
2021,COM,CB023ECO02,2,1,162,,True,102
2021,COM,CB023ECO02,3,1,144,,False,103
2021,COM,CB023ECO03,1,1,149,,False,105
2021,COM,CB023ECO03,2,1,162,,True,105
2021,COM,CB023ECO03,3,1,144,,False,106
2021,COM,CB023ECO04,1,1,167,,False,103
2021,COM,CB023ECO04,2,1,156,,True,104
2021,COM,CB023ECO04,3,1,180,,False,104
2021,COM,CB023INF01,1,1,149,,False,106
2021,COM,CB023INF01,2,1,144,,False,106
2021,COM,CB023INF01,3,1,156,,False,106
2021,COM,CB023INF06,1,1,149,,False,107
2021,COM,CB023INF06,2,1,324,,False,107
2021,COM,CB023INF06,3,1,144,,False,108
2021,COM,CB023INF11,1,1,167,,False,108
2021,COM,CB023INF11,2,1,162,,False,108
2021,COM,CB023INF11,3,1,150,,False,109
2021,COM,CB023PHI03,1,1,149,,False,101
2021,COM,CB023PHI03,2,1,174,,False,101
2021,COM,CB023PHI03,3,1,168,,False,102
2021,COM,CB024BUS07,1,1,167,,False,61
2021,COM,CB024BUS07,2,1,168,,False,62
2021,COM,CB024BUS07,3,1,180,,False,62
2021,COM,CB024BUS07,4,1,180,,False,62
2021,COM,CB024BUS08,1,1,167,,False,63
2021,COM,CB024BUS08,2,1,162,,False,63
2021,COM,CB024BUS08,3,1,180,,False,63
2021,COM,CB024BUS08,4,1,156,,False,64
2021,COM,CB024BUS22,1,1,185,,False,51
2021,COM,CB024BUS22,2,1,186,,False,52
2021,COM,CB024BUS22,3,1,198,,True,52
2021,COM,CB024BUS22,4,1,178,,False,52
2021,COM,CB024CSC05,1,1,149,,False,55
2021,COM,CB024CSC05,2,1,162,,False,56
2021,COM,CB024CSC05,3,1,180,,False,56
2021,COM,CB024CSC05,4,1,166,,False,56
2021,COM,CB024ECO01,1,1,167,,False,58
2021,COM,CB024ECO01,2,1,150,,False,58
2021,COM,CB024ECO01,3,1,162,,True,59
2021,COM,CB024ECO01,4,1,156,,False,59
2021,COM,CB024ECO03,1,1,167,,False,60
2021,COM,CB024ECO03,2,1,168,,False,60
2021,COM,CB024ECO03,3,1,144,,False,60
2021,COM,CB024ECO03,4,1,174,,False,61
2021,COM,CB024FTX04,1,1,167,,False,54
2021,COM,CB024FTX04,2,1,168,,False,54
2021,COM,CB024FTX04,3,1,180,,False,55
2021,COM,CB024FTX04,4,1,162,,False,55
2021,COM,CB024FTX05,1,1,185,,False,53
2021,COM,CB024FTX05,2,1,168,,False,53
2021,COM,CB024FTX05,3,1,180,,False,53
2021,COM,CB024FTX05,4,1,144,,False,54
2021,COM,CB024INF01,1,1,185,,False,57
2021,COM,CB024INF01,2,1,168,,False,57
2021,COM,CB024INF01,3,1,156,,False,57
2021,COM,CB024INF01,4,1,176,,False,57
2021,COM,CB025BUS01,1,1,185,,False,49
2021,COM,CB025BUS01,2,1,186,,False,50
2021,COM,CB025BUS01,3,1,180,,False,50
2021,COM,CB025BUS01,4,1,174,,False,50
2021,COM,CB025BUS09,1,1,185,,False,50
2021,COM,CB025BUS09,2,1,186,,False,51
2021,COM,CB025BUS09,3,1,198,,False,51
2021,COM,CB025BUS09,4,1,147,,False,51
2021,COM,CB026BUS01,1,1,185,,False,96
2021,COM,CB026BUS01,2,1,186,,False,96
2021,COM,CB026BUS01,3,1,162,,False,96
2021,COM,CB026BUS09,1,1,185,,False,97
2021,COM,CB026BUS09,2,1,186,,False,97
2021,COM,CB026BUS09,3,1,180,,False,97
2021,COM,CU020BUS01,1,1,126,,True,18
2021,EBE,EB001CHE01,1,1,146,,False,31
2021,EBE,EB001CHE01,2,1,144,156,True,31
2021,EBE,EB001CHE01,3,1,142,150,True,32
2021,EBE,EB001CHE01,4,1,128,146,True,32
2021,EBE,EB002CIV01,1,1,144,,False,38
2021,EBE,EB002CIV01,2,1,144,,False,39
2021,EBE,EB002CIV01,3,1,152,,False,39
2021,EBE,EB002CIV01,4,1,144,,False,39
2021,EBE,EB005MEC01,1,1,144,,False,60
2021,EBE,EB005MEC01,2,1,144,,False,61
2021,EBE,EB005MEC01,3,1,144,,False,61
2021,EBE,EB005MEC01,4,1,144,,False,61
2021,EBE,EB009EEE01,1,1,148,,False,46
2021,EBE,EB009EEE01,2,1,144,,False,46
2021,EBE,EB009EEE01,3,1,144,,False,47
2021,EBE,EB010MEC05,1,1,144,,False,64
2021,EBE,EB010MEC05,2,1,144,,False,64
2021,EBE,EB010MEC05,3,1,144,,False,65
2021,EBE,EB010MEC05,4,1,144,,False,65
2021,EBE,EB011EEE05,1,1,148,,False,55
2021,EBE,EB011EEE05,2,1,144,,False,56
2021,EBE,EB011EEE05,3,1,144,,False,56
2021,EBE,EB012APG01,1,1,144,,False,19
2021,EBE,EB012APG01,2,1,144,,False,20
2021,EBE,EB012APG01,3,1,144,,False,20
2021,EBE,EB015CON04,1,1,144,,False,43
2021,EBE,EB015CON04,2,1,150,,False,43
2021,EBE,EB015CON04,3,1,156,,False,44
2021,EBE,EB017CON03,1,1,152,,False,44
2021,EBE,EB017CON03,2,1,154,,False,45
2021,EBE,EB017CON03,3,1,148,,False,45
2021,EBE,EB019APG09,1,1,124,,False,22
2021,EBE,EB019APG09,2,1,148,,False,22
2021,EBE,EB019APG09,3,1,144,,False,22
2021,EBE,EB019APG09,4,1,150,,False,23
2021,EBE,EB019APG11,1,1,126,,False,25
2021,EBE,EB019APG11,2,1,148,,False,25
2021,EBE,EB019APG11,3,1,154,,False,25
2021,EBE,EB019APG11,4,1,180,,False,26
2021,EBE,EB022EEE02,1,1,148,,False,50
2021,EBE,EB022EEE02,2,1,144,,False,51
2021,EBE,EB801CHE01,1,1,102,,False,34
2021,EBE,EB801CHE01,2,1,112,124,True,34
2021,EBE,EB801CHE01,3,1,112,124,True,34
2021,EBE,EB801CHE01,4,1,126,134,True,35
2021,EBE,EB801CHE01,5,1,128,,False,35
2021,EBE,EB802CIV01,1,1,104,,False,40
2021,EBE,EB802CIV01,2,1,104,,False,40
2021,EBE,EB802CIV01,3,1,124,,False,41
2021,EBE,EB802CIV01,4,1,126,,False,41
2021,EBE,EB802CIV01,5,1,126,,False,41
2021,EBE,EB805MEC01,1,1,102,,False,62
2021,EBE,EB805MEC01,2,1,98,,False,62
2021,EBE,EB805MEC01,3,1,114,,False,63
2021,EBE,EB805MEC01,4,1,136,,False,63
2021,EBE,EB805MEC01,5,1,126,,False,63
2021,EBE,EB809EEE01,1,1,96,,False,48
2021,EBE,EB809EEE01,2,1,116,,False,48
2021,EBE,EB809EEE01,3,1,112,,False,49
