year,faculty,degree_scope,plan_code_hint,rule_ref,min_total_credits,min_level_credits,min_level,max_total_credits,min_total_courses,min_senior_courses,min_majors,course_unit,duration_years,cohort,is_stream_total,source_page,quote
2021,LAW,LLB five-year undergraduate curriculum stream,LB003,FP1-FP3,,,,,,,,,5,,False,38,the curriculum for the five-year undergraduate curriculum stream will extend over five years
2021,LAW,LLB three-year graduate stream,LP001,FP1-FP3,,,,,,,,,3,,False,38,the curriculum for the three-year graduate stream of the Basic Legal Education programme will extend over three years
2021,LAW,LLB two-year graduate stream,LP001,FP1-FP3,,,,,,,,,2,,False,38,the curriculum for the two-year graduate stream of the Basic Legal Education programme will extend over two years
2021,LAW,LLB graduate LLB stream,LP001,,504,,,,,,,,,,True,39,Total credits for the graduate LLB stream ............................. 504
2021,LAW,LLB Final Level electives,,FP4.6,,,,54,,,,,,,False,40,The maximum number of credits for elective courses in the Final Level is 54
2021,LAW,LLB undergraduate LLB stream,LB002,,660,,,,,,,,,,True,41,Total credits for the undergraduate LLB stream ................... 660
2021,LAW,LLB five-year undergraduate LLB stream,LB003,,660,,,,,,,,,,True,43,Total credits for the five-year undergraduate LLB stream ... 660
2021,LAW,LLB Final Level electives,,FP4.4,36,,,,,,,,,,False,63,must choose elective courses totalling a minimum of 36 NQF credits
2021,FHS,BACHELOR OF MEDICINE AND BACHELOR OF SURGERY (MBChB),,FBA2,,,,,,,,,6,,False,20,FBA2 The curriculum for the degree extends over at least six years of full-time study
2021,FHS,BACHELOR OF MEDICINE AND BACHELOR OF SURGERY (MBChB),,FBB2,,,,,,,,,,,False,26,FBB2 The programme extends over three semesters (18 months) of full-time study
2021,FHS,Intercalated BSc (Medicine),,FBC3.1,360,120,,,,,,,,,False,29,"FBC3.1 The BSc (Medicine) shall have at least 360 credits, of which a minimum of 120 credits"
2021,FHS,BACHELOR OF SCIENCE IN MEDICINE (BSC MEDICINE),,FBD1,,,,,,,,,4,,False,31,FBD1 Each curriculum extends over four years of full-time study
2021,FHS,BACHELOR OF SCIENCE IN OCCUPATIONAL THERAPY,,FBE1,,,,,,,,,4-5,,False,37,FBE1 The degree programme extends over either four or (for students passing through the Intervention Programme) five years of full-time study
2021,FHS,BACHELOR OF SCIENCE IN PHYSIOTHERAPY,,FBF1,,,,,,,,,4,,False,41,FBF1 The curriculum for the degree extends over four years of full-time study
2021,SCI,Bachelor of Science (BSc),,FB2.1,,,,,,,,,3,,False,12,FB2.1 The curriculum for the Bachelor of Science degree shall extend over not less than three academic years
2021,SCI,BSc Extended Degree Programme (SB016),,FB2.2,,,,,,,,,4,,False,12,FB2.2 The curriculum which includes the Extended Degree Programme for Science (EDP) will usually extend over four academic years
2021,SCI,Bachelor of Science (BSc),,FB7.1,,,,,9,,,full-year courses,,,False,16,FB7.1 The curriculum shall include the equivalent of at least nine full-year courses
2021,SCI,Bachelor of Science (BSc),,FB7.2,,,,,,4,,full-year courses,,,False,16,FB7.2 The curriculum shall include the equivalent of at least four full-year senior courses
2021,SCI,Bachelor of Science (BSc) — Mathematics requirement,,FB7.3,,,,,,,,,,,False,16,"FB7.3 The curriculum shall include at least a half Science course in Mathematics (18 NQF credits, level 5) plus a half Science course in Statistics (18 NQF credits, level 5), or a full Science course in Mathematics (36 NQF credits, level 5)"
2021,SCI,Bachelor of Science (BSc),,FB7.6,,,,,,,1,,,,False,17,FB7.6 The curriculum shall include at least one major
2021,HUM,BA/BSocSc (HB003/HB001),,FB3,,,,,,,2,,,,False,31,FB3 (a) The curriculum shall include at least two major subjects
2021,HUM,BA/BSocSc (HB003/HB001),,FB4,,,,,,10,,semester courses,,,False,33,FB4 Candidates shall complete at least ten senior semester subject courses
2021,HUM,BA/BSocSc — required Humanities courses,,FB5,,,,,12,,,semester courses,,,False,33,"FB5 Except by permission of the Senate, the curriculum shall include at least 12 semester subject courses (or equivalent) offered by departments established in the Faculty of Humanities"
2021,HUM,BA/BSocSc regular programme (HB003/HB001),,award minima (FB2-FB6 summary),,,,,20,10,2,semester courses,3,,False,36, Minimum duration: 3 years. |  Minimum number of courses: 20 semester courses (or equivalent). |  Minimum number of senior courses: 10 semester courses (or equivalent). |  Minimum number of majors: 2.
2021,HUM,BA/BSocSc extended programme (HB061/HB062),,award minima (FB2-FB6 summary),,,,,20,10,2,semester courses,4,,False,38,(1) Minimum duration: 4 years |  20 semester subject courses (or equivalent) |  10 senior semester courses (or equivalent) |  2 majors
2021,HUM,BACHELOR OF ARTS IN FINE ART REGULAR PROGRAMME OF STUDY [HB008],,,,,,,27,,,semester courses,,,False,54,The Curriculum requires a minimum of 27 semester subject courses or the equivalent.
2021,HUM,BACHELOR OF ARTS IN FINE ART REGULAR PROGRAMME OF STUDY [HB064],,,,,,,27,,,semester courses,,,False,57,The curriculum requires a minimum of 27 semester courses or the equivalent.
2022,COM,Advanced Diploma in Management Development,,,120,,,,,,,,,,False,23,is accredited with 120 NQF credits
2022,COM,Bachelor of Business Science,,FBB1,,,,,,,,,4,,False,28,FBB1 The curriculum shall extend over a minimum of four years
2022,COM,Bachelor of Business Science,,FBB2,623,96,8,,,,,,,,False,28,FBB2 The curriculum for this degree shall consist of a minimum of 623 NQF credits with a minimum of 96 credits at NQF level 8
2022,COM,Bachelor of Business Science in Actuarial Science,,FBC1,681,96,8,,,,,,,,False,29,FBC1 The curriculum for this degree shall consist of a minimum of 681 NQF credits with a minimum of 96 credits at NQF level 8
2022,COM,Bachelor of Business Science in Actuarial Science,,FBD1.1,,,,,,,,,4-5,,False,30,FBD1.1 The curriculum for the degree shall extend over four or five years
2022,COM,Bachelor of Business Science in Actuarial Science,,FBE1.1,,,,,,,,,4-5,,False,30,FBE1.1 The curriculum for the degree shall extend over four or five years
2022,COM,Bachelor of Commerce,,FBF1,,,,,,,,,3,,False,32,FBF1 The curriculum for the degree shall extend over three years
2022,COM,Bachelor of Commerce,,FBF2,440,120,7,,,,,,,,False,32,FBF2 The curriculum for this degree shall consist of a minimum of 440 NQF credits of which 120 NQF credits will be at NQF Level 7
2022,COM,Bachelor of Commerce in Actuarial Science,,FBG1,,,,,,,,,3,,False,33,FBG1 The curriculum for the degree shall extend over three years
2022,COM,Bachelor of Commerce in Actuarial Science,,FBG2,528,120,7,,,,,,,,False,33,FBG2 The curriculum for this degree shall consist of a minimum of 528 NQF credits of which 120 NQF credits will be at NQF Level 7
2022,COM,Bachelor of Commerce Academic Development,,FBH1,,,,,,,,,3-4,,False,34,FBH1 The curriculum for the degree shall extend over three or four years
2022,COM,Bachelor of Commerce in Actuarial Science Academic Development,,FBI1,,,,,,,,,3-4,,False,35,FBI1 The curriculum for the degree shall extend over three or four years
2022,EBE,4-year degrees (faculty rule FB3.2),,FB3.2,576,,,,,,,,,,False,15,FB3.2 Candidates must complete approved courses of not less than 576 credits in the case of the degrees which have a minimum duration of 4 years and not less than 432 credits in the case of degrees which have a minimum duration of 3 years
2022,EBE,3-year degrees (faculty rule FB3.2),,FB3.2,432,,,,,,,,,,False,15,FB3.2 Candidates must complete approved courses of not less than 576 credits in the case of the degrees which have a minimum duration of 4 years and not less than 432 credits in the case of degrees which have a minimum duration of 3 years
2022,EBE,"BAS, BSc(ConstStudies), BSc(PropStudies)",,FB2.1,,,,,,,,,3,,False,15,FB2.1 The curriculum shall extend over not less than 3 academic years
2022,EBE,"BSc(Eng), BSc(Geomatics)",,FB2.2,,,,,,,,,4,,False,15,FB2.2 The curriculum shall extend over not less than 4 academic years
2022,EBE,EB019APG09,EB019APG09,,576,,,,,,,,,,False,23,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB819APG09,EB819APG09,,576,,,,,,,,,,False,24,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB019APG11,EB019APG11,,576,,,,,,,,,,False,26,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB819APG11,EB819APG11,,576,,,,,,,,,,False,27,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB001CHE06 transferee/access route,EB001CHE06,,464,,,,,,,,,,False,36,transferee programme are required to complete 464 credits
2022,EBE,EB001CHE01 transferee/access route,EB001CHE01,,452,,,,,,,,,,False,37,conversion programme are required to complete 452 credits
2022,EBE,EB002CIV01,EB002CIV01,,576,,,,,,,,,,False,39,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB015CON04,EB015CON04,,450,,,,,,,,,,False,44,A candidate shall complete approved courses of a value not less than 450 credits
2022,EBE,EB017CON03,EB017CON03,,468,,,,,,,,,,False,45,A candidate shall complete approved courses of a value not less than 468 credits
2022,EBE,EB009EEE01,EB009EEE01,,576,,,,,,,,,,False,47,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB809EEE01,EB809EEE01,,576,,,,,,,,,,False,49,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB022EEE02,EB022EEE02,,576,,,,,,,,,,False,51,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB822EEE02,EB822EEE02,,576,,,,,,,,,,False,53,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB011EEE05,EB011EEE05,,576,,,,,,,,,,False,55,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB811EEE05,EB811EEE05,,576,,,,,,,,,,False,57,A candidate shall complete approved courses of a value not less than 576 credits
2022,EBE,EB005MEC01,EB005MEC01,,576,,,,,,,,,,False,60,A candidate shall complete approved courses to a value of at least 576 credits
2022,EBE,EB805MEC01,EB805MEC01,,576,,,,,,,,,,False,62,A candidate shall complete approved courses to a value of at least 576 credits
2022,EBE,EB010MEC05,EB010MEC05,,576,,,,,,,,,,False,64,A candidate shall complete approved courses to a value of at least 576 credits
2022,EBE,EB810MEC05,EB810MEC05,,576,,,,,,,,,,False,66,A candidate shall complete approved courses to a value of at least 576 credits
2022,LAW,LLB four-year undergraduate stream,LB002,FP1-FP3,,,,,,,,,4,,False,40,the curriculum for the four-year undergraduate stream of the Basic Legal Education programme will extend over four years
2022,LAW,LLB five-year undergraduate curriculum stream,LB003,FP1-FP3,,,,,,,,,5,,False,40,the curriculum for the five-year undergraduate curriculum stream will extend over five years
2022,LAW,LLB three-year graduate stream,LP001,FP1-FP3,,,,,,,,,3,,False,40,the curriculum for the three-year graduate stream of the Basic Legal Education programme will extend over three years
2022,LAW,LLB two-year graduate stream,LP001,FP1-FP3,,,,,,,,,2,,False,40,the curriculum for the two-year graduate stream of the Basic Legal Education programme will extend over two years
2022,LAW,LLB graduate LLB stream,LP001,,504,,,,,,,,,,True,41,Total credits for the graduate LLB stream ............................. 504
2022,LAW,LLB Final Level electives,,FP4.6,,,,54,,,,,,,False,42,The maximum number of credits for elective courses in the Final Level is 54
2022,LAW,LLB undergraduate LLB stream,LB002,,660,,,,,,,,,,True,43,Total credits for the undergraduate LLB stream ................... 660
2022,LAW,LLB five-year undergraduate LLB stream,LB003,,660,,,,,,,,,,True,45,Total credits for the five-year undergraduate LLB stream... 660
